class_group,subclass,total_n,total_pct,pct_out_of_class,main_meals_n,main_meals_pct,snacks_n,snacks_pct,desserts_n,desserts_pct
Local cooked dishes,ALL,383,46.7,100.0,280,80.2,102,35.5,1,0.5
Local cooked dishes,Rice-based dishes,146,17.8,38.1,145,51.8,1,1.0,0,0.0
Local cooked dishes,Meat and egg dishes,75,9.1,19.6,34,12.1,41,40.2,0,0.0
Local cooked dishes,Fish and seafood dishes,55,6.7,14.4,21,7.5,34,33.3,0,0.0
Local cooked dishes,Noodle or pasta-based dishes,52,6.3,13.6,49,17.5,3,2.9,0,0.0
Local cooked dishes,Vegetable and legume dishes,29,3.5,7.6,11,3.9,17,16.7,1,100.0
Local cooked dishes,"Breads, doughs, and batters",26,3.2,6.8,20,7.1,6,5.9,0,0.0
Local snacks and desserts,ALL,237,28.9,100.0,0,0.0,82,28.6,155,84.2
Local snacks and desserts,"Vegetables, fruits, and legumes-based",68,8.3,28.7,0,0.0,39,47.6,29,18.7
Local snacks and desserts,Wheat flour-based,57,7.0,24.1,0,0.0,26,31.7,31,20.0
Local snacks and desserts,Glutinous rice-based,39,4.8,16.5,0,0.0,6,7.3,33,21.3
Local snacks and desserts,Rice and rice flour-based,37,4.5,15.6,0,0.0,7,8.5,30,19.4
Local snacks and desserts,Porridge and pengat,16,2.0,6.8,0,0.0,0,0.0,16,10.3
Local snacks and desserts,Cold desserts,9,1.1,3.8,0,0.0,0,0.0,9,5.8
Local snacks and desserts,Cakes and breads,9,1.1,3.8,0,0.0,4,4.9,5,3.2
Local snacks and desserts,Egg-based,2,0.2,0.8,0,0.0,0,0.0,2,1.3
Processed foods,ALL,93,11.3,100.0,25,7.2,66,23.0,2,1.1
Processed foods,Fish and seafood-based,25,3.0,26.9,0,0.0,25,37.9,0,0.0
Processed foods,Burger,25,3.0,26.9,25,100.0,0,0.0,0,0.0
Processed foods,Chicken-based,17,2.1,18.3,0,0.0,17,25.8,0,0.0
Processed foods,Vegetables and fruits-based,8,1.0,8.6,0,0.0,8,12.1,0,0.0
Processed foods,Beef-based,7,0.9,7.5,0,0.0,7,10.6,0,0.0
Processed foods,Pork-based,6,0.7,6.5,0,0.0,6,9.1,0,0.0
Processed foods,Biscuits and sweets,3,0.4,3.2,0,0.0,1,1.5,2,100.0
Processed foods,Milk products-based,1,0.1,1.1,0,0.0,1,1.5,0,0.0
Processed foods,Pizza,1,0.1,1.1,0,0.0,1,1.5,0,0.0
Non-local cooked dishes,ALL,59,7.2,100.0,42,12.0,17,5.9,0,0.0
Non-local cooked dishes,"Breads, doughs, and batters",18,2.2,30.5,13,31.0,5,29.4,0,0.0
Non-local cooked dishes,Meat and egg dishes,17,2.1,28.8,8,19.0,9,52.9,0,0.0
Non-local cooked dishes,Rice-based dishes,10,1.2,16.9,9,21.4,1,5.9,0,0.0
Non-local cooked dishes,Noodle or pasta-based dishes,10,1.2,16.9,10,23.8,0,0.0,0,0.0
Non-local cooked dishes,Fish and seafood dishes,3,0.4,5.1,2,4.8,1,5.9,0,0.0
Non-local cooked dishes,Vegetable and legume dishes,1,0.1,1.7,0,0.0,1,5.9,0,0.0
Non-local snacks and desserts,ALL,40,4.9,100.0,0,0.0,14,4.9,26,14.1
Non-local snacks and desserts,Pastries,10,1.2,25.0,0,0.0,4,28.6,6,23.1
Non-local snacks and desserts,Cakes and breads,9,1.1,22.5,0,0.0,0,0.0,9,34.6
Non-local snacks and desserts,"Vegetables, fruits, and legumes-based",7,0.9,17.5,0,0.0,4,28.6,3,11.5
Non-local snacks and desserts,Cold desserts,7,0.9,17.5,0,0.0,0,0.0,7,26.9
Non-local snacks and desserts,Rice and rice flour-based,4,0.5,10.0,0,0.0,3,21.4,1,3.8
Non-local snacks and desserts,Wheat flour-based,3,0.4,7.5,0,0.0,3,21.4,0,0.0
Uncooked dishes,ALL,8,1.0,100.0,2,0.6,6,2.1,0,0.0
